3634	5017	7067	4335	5026	7303	7919	3759	995	5780	7744	4803	454	5424	9038	8647
3892	6540	9061	4886	7369	5858	2000	1106	1922	9903	9256	6348	8587	2456	8567	5985
3115	8085	8384	9907	9887	404	8105	2745	8512	9601	4137	5794	3383	1282	2044	6461
1882	3827	4519	7769	4724	2994	6526	4043	3480	3260	2611	8004	5948	8777	3113	7452
1113	2638	3956	4659	9881	2926	2840	7185	7464	9917	1293	7730	5004	1260	2710	1658
4976	6011	8463	6114	6456	8747	5736	4017	1918	7604	2744	8238	1079	2901	176	3360
4614	3497	8087	2892	9135	1644	7773	3776	7855	6805	1293	445	58	7020	3178	8241
9765	3722	3143	8643	6789	8625	1274	4038	6862	9524	3256	6157	1722	8687	1860	9930
8831	8084	4183	1468	2035	3561	9737	6350	8060	2768	6628	7468	6990	1058	8034	5491
9043	1524	3159	9629	5120	9535	5583	9148	6426	686	4982	5390	6641	4879	3090	3939
6770	8797	4476	3686	1311	8802	7836	8919	7943	4429	6542	1366	8172	4008	7546	3683
9529	8829	5566	4211	6198	4326	5721	1233	872	4294	2957	5614	9069	2916	9502	2950
824	14	406	7141	4916	6579	9138	6672	7555	7397	8928	9606	5530	4381	8055	3752
4152	4115	6982	6195	7943	7756	716	7818	9660	8871	2772	5935	610	4093	249	6477
1913	758	7707	892	7456	1103	3690	7733	6594	9181	358	2890	9652	9647	8447	5204
1666	5237	6431	7153	9146	641	5488	8853	7111	4121	8356	5261	446	7450	8333	876
933	7732	8315	8993	3677	8908	9617	6132	4838	4061	5423	8283	9604	9841	934	2522
4971	2891	9176	6309	6073	3720	1665	1840	4243	1548	8537	8289	7020	4494	8629	3006
7131	8997	3721	4493	7407	7489	9242	3485	4530	7172	1407	996	9855	8855	1593	7186
5156	5990	3677	5721	7965	9816	3679	4460	6432	7627	1354	9743	7342	1791	8574	506
8881	9449	4363	7141	255	9556	8856	1573	9391	8220	823	4494	6661	719	5714	1052
597	5419	9960	8029	855	7825	6453	6510	5830	5938	4050	6689	462	6684	4420	8369
9575	5129	1941	7134	7607	9126	5156	6789	5957	3189	6213	9216	5183	7313	3824	4271
6157	4148	9099	5617	476	1804	7840	3116	2034	2018	2045	3557	7425	1368	6869	3350
4931	5502	9204	7285	9628	3715	6118	8011	8044	7201	7163	8302	7278	7807	508	7834
4879	5200	185	3756	4542	8720	309	4992	9638	4302	5393	8217	1990	8648	1285	6621
3261	7271	6129	5104	5288	209	1748	351	3475	9382	4729	7448	5426	4067	5567	9284
8079	1286	9622	1695	4912	9692	6361	650	6458	6813	7762	7774	4642	7884	1399	8640
5231	6852	7108	4726	7936	4950	9418	4613	2223	9014	6828	6473	677	6017	4679	8544
6516	8614	1250	9717	5277	6681	6153	32	7731	8317	7389	1153	1087	5818	3348	9914
4263	55	1505	375	1260	3157	4114	289	1924	8776	3340	3287	4878	5031	6839	1468
194	8282	5108	7142	2663	857	4889	9296	8121	3362	3192	5068	9494	588	9514	9376
2631	171	1853	3484	4109	2533	7100	4470	3760	9826	5706	6361	5891	1227	2673	3932
6955	2026	5049	2934	1920	6681	770	7273	9264	2009	8992	141	8755	76	4217	9296
8379	7746	8542	9125	5039	2045	5879	2899	7811	6506	2145	9629	2346	6637	6206	2813
7949	7754	92	7323	4812	6623	7532	5205	2370	3848	8172	9180	8733	4476	9355	5477
231	5034	6973	109	9657	3564	4542	3197	3857	1530	5126	9816	3412	9363	3505	6659
9899	7332	7629	7120	7926	4722	1034	5179	5224	1841	3349	8231	4235	9846	1527	1322
3615	2532	7566	2753	5668	95	4731	3226	1437	4819	2625	7229	4865	1622	7030	9508
9100	7431	2513	2968	6926	3420	9312	2231	6505	5032	816	1319	3341	9570	3864	9480
6670	6413	5829	3401	6069	4291	5224	6929	5396	6426	5752	9909	2914	6831	7005	3969
7222	1724	6829	6582	1552	3405	8104	5967	591	9653	7832	2889	1761	7265	4184	1782
8190	1726	2185	3865	4437	516	4635	5449	2898	152	8334	1753	9956	138	4007	754
1320	7020	7248	2210	6013	8919	3716	2845	50	7893	6562	3315	3514	5861	6804	828
8522	3185	4628	1190	5922	5696	782	2131	902	1789	9343	8830	4737	7744	7067	6403
2500	6048	3065	2771	6198	2274	8398	9998	5718	4443	7801	3958	7111	8184	925	2794
7523	1909	5035	8428	3829	6843	1071	8795	7039	3959	9858	6333	5422	872	8921	899
6218	2329	9502	391	6628	963	7612	7606	7100	1474	377	5871	7102	7936	6447	677
4934	2497	6197	6267	1103	3825	5974	6496	471	3998	9356	857	4594	1094	8352	3093
4736	6677	1459	9881	4105	4579	252	9256	9796	6749	8861	9797	3866	6254	8550	2556
4906	8641	7619	6104	3803	137	7498	8843	2113	2632	4393	7465	4553	5741	1940	841
4619	4345	8122	6318	4847	2998	2367	7484	6710	1138	1466	1640	9584	7015	4562	8214
6985	7402	8944	866	3663	395	1776	902	3715	6314	1230	6744	882	7650	9196	7082
7835	6229	3974	8701	7980	4949	582	4258	4553	8836	7758	4424	3828	4655	7843	9376
4705	6170	4295	8613	6934	7895	3007	5623	9606	5283	6672	6425	436	7369	3993	8287
4620	831	7243	4096	576	6996	7945	5993	5261	6416	4633	5863	5261	4360	5	9951
3627	4766	3367	8953	9546	8015	1014	5483	2825	3124	695	949	4973	8152	7112	457
9644	4719	628	7751	7093	4073	5527	347	6930	7309	8687	7907	7866	6088	7819	9729
7907	2619	5837	3027	4729	3522	8848	4840	5725	2673	8817	6700	6584	2803	3579	5295
3697	4197	1893	601	6827	7594	1796	1846	6946	4375	9285	5403	8567	4286	4720	5078
5654	5745	7602	3179	7000	7900	2429	5136	7898	7153	841	7935	7355	258	1827	1715
130	2382	5049	2244	3236	4560	6669	2202	1760	2451	4070	5163	2144	9944	7851	7162
6703	5785	790	1194	1516	1481	1955	6349	3436	1602	4956	8564	3463	2367	6042	1523
9108	4398	2964	6765	8182	8045	1553	2954	6736	1311	3238	64	3231	6645	6190	5157
4231	4085	9278	5687	2195	3768	1284	5979	5082	6601	5948	452	7428	8196	3146	2179
1613	7858	2184	9748	3555	8619	1118	7958	6647	4924	2615	3465	9274	4940	3908	8720
6516	450	8071	1006	4574	3518	7922	1717	5658	4665	484	70	2629	2935	4589	5504
